編號,金額,電話,付款狀態,品項,辣度
1,160,681,0,5;21,21無
2,220,365,0,9*2,微;微
3,100,979,0,5,null
4,130,null,1,1,null
5,210,null,1,9;11,無;無
6,100,null,1,8,null
7,100,null,1,5,null
8,130,null,1,3,null
9,200,087,0,5*2,null
10,210,null,1,5;9,小
11,160,null,1,3;23*2,null
12,145,null,1,2;23,null
13,200,956,0,5*2,null
14,100,null,1,5,null
15,300,889,0,5*3,null
16,390,051,0,2;3*2,null
17,230,null,1,3;5,null
18,100,null,1,11,無
19,100,null,1,7,null
20,100,531,0,7,null
21,390,757,0,2*2;3,null
22,130,239,0,3,null
23,195,null,1,4;21;23,21無
24,100,796,0,5,null
25,110,026,0,10,無
26,100,null,0,7,null
27,260,901,0,3*2,null
28,180,null,1,4;21,21無
29,200,922,0,5;7,null
30,100,null,1,5,null
31,100,null,1,11,小
32,100,null,1,8,null
33,230,null,1,3;7,null
34,100,null,1,7,null
35,240,739,0,3;5;25*2,25無;25無
36,110,097,0,9,小
37,580,386,0,3*2;4;7;8,null
38,1000,051,0,2;3*5;9;10,微;微
39,850,772,0,3*4;9*2;10,無;無;無
40,1100,null,0,3*3;5;7*3;8*2;9,無
41,230,null,1,3;5,null
42,120,220,0,4,null
43,190,038,0,3;21,21無
44,100,315,1,11,無
45,100,455,0,5,null
46,200,568,0,7;8,null
47,440,460,0,4*2;5;7,null
48,200,null,0,8*2,null
49,130,null,1,3,null
50,3330,570,0,3*7;4*2;5*9;7*5;8*7;19;31,null
51,900,907,0,5*9,null
52,120,null,1,4,null
53,230,943,0,1;5,null
54,230,null,0,3;5,null
