編號,金額,電話,付款狀態,品項,辣度
1,100,112,0,5,null
2,130,603,0,3,null
3,120,null,1,4,null
4,100,null,1,7,null
5,220,801,1,4;5;27*2,null
6,260,null,0,1;3,null
7,200,null,1,11*2,小;小
8,220,353,0,4;7,null
9,230,422,0,5*2;23*2,null
10,200,null,1,7;11,無
11,110,null,1,9,微
12,135,null,1,3;25,25無
13,200,null,1,5;8,null
14,100,null,1,7,null
15,320,029,0,8;11;21;28,大;21無
16,3600,null,0,3*10;4*10;5*11,null
17,1080,961,0,3*2;7;8*2;9*2;10;21;28,無;無;無;21微
18,1410,212,0,2*7;7*5,null
19,200,219,0,5;7,null
20,130,620,1,3,null
21,100,null,1,5,null
22,100,null,1,7,null
23,440,null,1,3;5;7;11;27,小
24,100,null,1,7,null
25,120,353,0,7;22,null
26,100,null,1,8,null
27,110,null,1,9,無
28,205,null,1,3;21;23,21無
29,160,null,1,5;21,21微
30,440,970,0,9*4,微;微;無;無
31,520,null,1,3*4,null
32,100,512,0,7,null
33,500,null,1,5*4;11,微
34,130,null,0,3,null
35,200,null,1,5*2,null
36,130,null,1,3,null
37,130,null,1,3,null
38,100,null,1,5,null
39,260,null,1,1;3,null
40,100,null,0,8,null
41,130,null,1,3,null
42,260,943,0,1;3,null
