編號,金額,電話,付款狀態,品項,辣度
1,100,716,0,8,null
2,100,null,1,5,null
3,340,null,1,3;5;9,微
4,200,null,1,11*2,無
5,650,null,0,3*5,null
6,510,793,0,5;7;8*2;9,無
7,100,null,1,7,null
8,100,null,1,7,null
9,200,null,1,7;8,null
10,135,null,1,21;28;23,無
11,300,null,1,5*3,null
12,350,null,0,3*2,null
13,130,866,0,3,null
14,110,null,1,9,微
15,260,739,0,3*2,null
16,120,null,1,4,null
17,230,null,1,3;5,null
18,250,null,1,3;4,null
19,630,066,0,3*4;9,小
20,110,null,1,9,微
21,100,null,1,5,null
22,130,586,0,10,大
23,100,null,1,7,null
24,300,756,0,7*3,null
25,820,null,1,1;3*2;4;5*2;10,無
26,390,null,1,3*3,null
27,410,238,0,5*2;9;11,無;無
28,135,068,0,4;23,null
29,1300,212,0,5*6;8*7,null
30,520,729,0,4;5*4,null
31,230,276,0,3;5,null
32,800,null,1,7*8,null
33,100,866,0,5,null
34,200,483,0,5*2,null
35,300,969,0,5*3,null
36,1140,533,0,3*8;5,null
37,280,714,0,1;3,null
38,110,792,0,9,微
39,100,null,1,8,null
40,100,null,1,7,null
41,650,null,1,3;4;5*2;7,null
