編號,金額,電話,付款狀態,品項,辣度
1,140,525,0,3,null
2,200,270,0,5;11,中
3,100,null,1,11,小
4,100,null,1,5,null
5,100,null,1,5,null
6,100,null,1,5,null
7,390,616,0,3*3,null
8,100,483,1,5,null
9,460,null,1,2;3;7;8,null
10,130,335,0,3,null
11,100,null,1,5,null
12,360,null,1,3*2;11,大
13,300,625,0,5*3,null
14,1110,null,1,11;27,無
15,200,null,1,7*2,null
16,360,826,0,3*2;5,null
17,130,null,1,2,null
18,120,888,0,4,null
19,490,701,0,3*3;5,null
20,200,null,1,5*2,null
21,390,901,0,3*3,null
22,100,null,1,7,null
23,350,null,0,9*3;27;28,無;微;大
24,130,051,0,2,null
25,230,null,1,3;5,null
26,110,null,0,9,微
27,330,275,1,3;5;8,null
28,400,null,0,5*2;7*2,null
29,130,677,0,3,null
30,200,null,1,5*2,null
31,100,null,1,5,null
32,210,895,0,5;9,無
33,470,null,0,3;4*2;7,null
34,130,null,0,3,null
35,1300,158,0,3*2;5*3;8*3;11;17;19;21*2;24,小;21無;21中
36,850,239,0,3*3;4*3;14,null
37,430,590,0,3;8*3,null
38,250,091,0,3;4,null
39,190,038,1,3;21,21無
40,100,855,0,5,null
41,200,977,0,8*2,null
42,390,null,1,1;2;3,null
43,100,796,0,5,null
44,740,892,0,4*2;5*3;8*2,null
45,200,029,0,7;8,null
46,1630,212,0,1*4;2*3;4*6,null
47,300,029,0,5;7*2,null
48,1400,180,0,7*9;11*5,微;微;微;微;微
