編號,金額,電話,付款狀態,品項,辣度
1,380,582,0,1;3;4,null
2,220,null,1,9*2,無;無
3,120,301,0,4,null
4,330,null,1,3;5*2,null
5,110,330,0,9,無
6,230,null,1,3;7,null
7,130,512,0,3,null
8,230,989,0,3;7,null
9,130,null,1,3,null
10,100,301,0,5,null
11,130,null,1,3,null
12,200,null,1,5*2,null
13,500,null,1,7*3;8*2,null
14,260,null,1,2;3,null
15,100,null,1,5,null
16,130,535,0,3,null
17,100,null,1,8,null
18,100,null,1,8,null
19,100,null,1,8,null
20,240,null,1,4;5;22,null
21,720,230,0,5*4;9*2;11,無;無;無
22,530,892,0,3;5*3;7,null
23,220,179,0,4;7,null
24,650,568,0,3*5,null
25,130,895,0,3,null
26,130,null,1,3,null
27,100,null,1,5,null
28,120,null,1,4,null
29,130,null,1,3,null
30,100,null,1,5,null
31,120,null,1,4,null
32,100,796,0,5,null
33,100,null,1,7,null
34,120,null,0,4,null
35,200,890,0,7*2,null
36,130,null,1,3,null
37,400,977,0,11*4,小;小;小;小
38,630,null,1,3*3;4*2,null
39,100,null,1,5,null
40,1610,212,0,2*7;5*7,null
