編號,金額,電話,付款狀態,品項,辣度
1,100,276,0,11,無
2,100,085,0,8,null
3,260,739,0,2*2,null
4,630,777,0,1;5*5,null
5,730,562,0,2;5*6,null
6,130,null,1,10;22,大
7,400,null,1,7*4,null
8,100,713,1,11,無
9,200,668,1,7;11,無
10,330,964,1,1;7*2,null
11,500,357,0,5*5,null
12,990,239,0,2*3;5*5;8,null
13,130,null,1,2,null
14,1020,null,1,7*4;8*2;10*2;11*2,無;無;無;無
15,200,null,1,8*2,null
16,300,null,1,7*3,null
17,100,796,0,5,null
18,400,758,0,5*4,null
19,100,305,0,5,null
20,300,null,1,7*3,null
21,100,null,0,11,中
22,130,null,1,2,null
