編號,金額,電話,付款狀態,品項,辣度
1,440,616,0,4*2;7*2,null
2,230,536,0,3;7,null
3,260,213,0,3*2,null
4,130,null,1,1,null
5,100,null,1,5,null
6,100,null,1,5,null
7,100,276,0,5,null
8,300,null,1,7*3,null
9,100,null,1,8,null
10,100,null,1,7,null
11,130,null,1,9;22,無
12,250,null,1,3;4,null
13,260,null,1,1*2,null
14,140,856,0,11;22;27*2,大
15,200,null,1,5*2,null
16,100,213,0,1,null
17,100,997,0,5,null
18,300,411,0,5*3,null
19,260,null,1,3,null
20,100,null,1,5,null
21,130,null,1,1,null
22,130,null,1,10;22,大
23,135,739,0,3;25,25無
24,460,null,1,1*2;5*2,null
25,115,null,1,7;23,null
26,260,null,1,3*2,null
27,610,649,0,3*3;5*2;31*2,null
28,130,null,1,3,null
29,130,null,1,3,null
30,130,679,0,1,null
31,460,null,1,3*2;7*2,null
32,200,293,0,5*2,null
33,130,null,1,3,null
34,300,null,1,5*3,null
35,120,120,0,9;31,無
36,100,null,1,5,null
37,130,null,1,3,null
38,700,573,0,5*7,null
39,480,null,0,3*2;9*2,無;無
40,100,796,0,5,null
41,100,688,0,11,中
42,400,269,0,5*4,null
