編號,金額,電話,付款狀態,品項,辣度
1,390,304,0,3*3,null
2,290,009,0,3;11;21,無;21無
3,120,null,1,4,null
4,120,null,1,4,null
5,100,null,1,5,null
6,120,108,0,4,null
7,130,null,1,3,null
8,130,448,0,3,null
9,390,051,0,3*3,null
10,480,null,0,7*3;15*2,null
11,100,null,1,8,null
12,130,180,0,3,null
13,100,null,1,5,null
14,130,888,0,3,null
15,210,938,0,5;15;20,null
16,130,null,1,3,null
17,100,null,1,7,null
18,200,270,0,5*2,null
19,460,null,0,1;2;5*2,null
20,240,261,0,3;9,大
21,100,750,0,5,null
22,500,786,0,3*3;9,無
23,290,null,1,9*2;19,無;中
24,230,null,1,1;7,null
25,200,818,0,3;19,null
26,130,null,1,3,null
27,150,588,0,3;22,null
28,390,915,0,3*3,null
29,130,null,1,3,null
30,100,589,0,5,null
31,260,null,1,3*2,null
32,100,455,1,5,null
33,100,null,1,8,null
34,800,573,0,8*8,null
35,220,231,0,4;7,null
36,100,969,0,5,null
37,160,null,1,8;21,21小
38,620,979,0,3*4;5,null
39,220,796,0,4;5,null
40,400,483,0,5*4,null
41,100,null,1,8,null
