編號,金額,電話,付款狀態,品項,辣度
1,260,943,0,1;3,null
2,230,null,1,3;5,null
3,900,220,0,5*3;7*3;8*3,null
4,130,512,0,3,null
5,130,null,1,3,null
6,1690,null,0,3*5;4*5;9*4,無;無;無;無
7,200,966,0,7*2,null
8,200,977,0,5*2,null
9,130,null,1,3,null
10,330,232,0,1;7*2,null
11,300,null,1,5*3,null
12,100,null,1,5,null
13,200,null,1,8*2,null
14,250,261,0,3;9;25*2,辣;辣
15,200,null,1,5*2,null
16,100,null,1,5,null
17,300,null,1,7*3,null
18,490,null,1,3*3;5,null
19,250,null,1,3;4,null
20,200,null,1,7;8,null
21,400,029,0,7;8;11*2,大;小
22,200,null,1,9,微
23,105,254,0,7;25,無
24,130,796,0,3,null
25,100,301,0,5,null
26,100,null,1,7,null
27,320,null,1,,
28,100,316,1,5,null
29,107,100,0,5,null
30,440,966,0,4*2;8*2,null
31,130,null,1,1,null
32,360,609,0,3;4;9,微
33,270,809,0,3*2,null
34,175,null,1,16;18;25,無;無;辣
35,160,null,1,15;19,null
36,220,null,1,9;10,微;無
37,110,null,1,9,微
38,100,855,0,7,null
39,370,652,0,3*2;9,無
40,90,null,1,16,無
41,200,958,1,5*2,null
42,100,null,1,7,null
43,100,null,1,7,null
44,230,null,1,3;5,null
