編號,金額,電話,付款狀態,品項,辣度
1,80,707,0,17,null
2,300,494,0,5;7*2,null
3,270,761,0,7*2;19,null
4,100,null,1,7,null
5,200,null,1,7;8,null
6,300,127,0,5;7;11,無
7,100,null,1,5,null
8,450,550,0,2;4;5;7,null
9,100,null,1,5,null
10,100,null,1,7,null
11,150,656,0,17*2;19,null
12,300,null,1,5;8;12,null
13,100,null,1,7,null
14,115,null,1,5;23,null
15,100,null,1,8,null
16,230,null,1,2;5,null
17,620,230,0,4;5*4;11,無
18,940,390,0,3;5;8*6;10,小
19,120,null,1,4,null
20,100,null,1,5,null
21,130,null,1,2,null
22,190,null,1,4;19,null
23,660,635,0,1*2;5*2;7;8,null
24,100,null,1,5,null
25,200,152,0,8*2,null
26,120,null,1,4,null
27,130,null,0,3,null
28,260,767,1,3;4;25*2,25無;25辣
29,100,null,1,7,null
30,320,null,1,4;5;7,null
31,115,null,1,5;23,null
32,100,null,1,7,null
33,300,null,1,8*3,null
34,960,null,1,2*2;5*4;11*3,小;小;小
35,100,796,0,5,null
36,100,null,1,11,無
37,100,null,1,7,null
38,190,875,0,3;21,21無
39,130,null,1,2,null
40,250,515,0,1;4,null
41,240,null,1,4*2,null
42,560,943,0,1;3;5*3,null
43,100,791,0,5,null
