編號,金額,電話,付款狀態,品項,辣度
1,200,null,1,8;14,null
2,360,null,1,1;3;5,null
3,100,330,0,14,null
4,220,178,0,9*2,小;小
5,220,728,0,4*2;5,null
6,130,null,1,3,null
7,100,null,1,7,null
8,100,null,1,8,null
9,130,987,0,3,null
10,230,989,0,3;7,null
11,120,null,1,4,null
12,100,null,1,11,小
13,130,null,0,3,null
14,120,null,1,4,null
15,100,null,1,5,null
16,310,null,1,5*2;10,微
17,200,null,1,7;8,null
18,120,117,0,5;22,null
19,145,null,1,2,null
20,100,null,1,8,null
21,100,null,1,5,null
22,260,null,1,3*2,null
23,300,890,0,7*3,null
24,230,null,1,2;11,無
25,110,null,1,11;27,微
26,120,null,1,10;27,微
27,350,null,1,1;4;5*2,null
28,100,null,1,5,null
29,290,569,0,3;5;21,21無
30,100,null,1,5,null
31,400,218,0,5*2;7*2,null
32,640,130,0,4*2;8*4,null
33,470,316,0,5*3;11;19,中
34,100,481,0,5,null
35,130,796,0,3,null
36,100,576,0,5,null
37,110,892,0,7,null
38,80,null,1,21;22,21無
39,200,null,1,8*2,null
40,300,null,1,5*3,null
41,220,098,0,4;5,null
42,200,818,0,3;19,null
43,390,null,1,2*3,null
44,100,null,1,7,null
45,790,968,0,3*3;5*4,null
46,200,null,1,7;8,null
47,200,null,1,7*2,null
48,360,230,0,3*2;5,null
