編號,金額,電話,付款狀態,品項,辣度
1,100,112,0,5,null
2,340,539,0,2;5;9,小
3,160,103,0,5;21,無
4,120,null,0,4,null
5,320,null,0,3;7;16,微
6,100,631,0,5,null
7,305,null,1,3;5;21;23,無
8,240,579,0,3;9,無
9,100,353,0,7,null
10,250,null,1,3;4,null
11,130,null,1,1,null
12,100,null,1,7,null
13,100,null,1,5,null
14,400,null,0,5;7*3,null
15,230,207,0,1;7,null
16,510,null,1,9;11;21;24;27*2;28;29,無;無;21無
17,100,null,1,8,null
18,3140,null,0,3;5*14;7*12;8*3;9,微
19,290,null,1,9;10;19,微;無
20,320,711,0,4;7*2,null
21,110,null,1,11;27,小
22,110,null,1,11;27,微
23,550,null,1,3;5;7;9*2,無;大
24,170,null,1,9;28,無
25,130,null,1,3,null
26,480,null,1,4*4,null
27,100,null,0,7,null
28,400,997,0,5*4,null
29,130,977,1,3,null
30,590,null,0,3*3;5*2,null
31,1800,212,0,4*15,null
32,1320,901,0,5*5;7*4;8*2;9*2,無;無
33,250,null,1,1;4,null
