編號,金額,電話,付款狀態,品項,辣度
1,120,null,1,4,null
2,110,null,1,9,無
3,670,390,0,3;9;11*3;10,無;小;無;無;小
4,220,728,0,4;5,null
5,100,null,1,7,null
6,100,807,0,7,null
7,120,null,1,4,null
8,120,null,1,7;22,null
9,100,null,1,8,null
10,300,890,0,7*3,null
11,130,null,1,1,null
12,130,071,0,3,null
13,200,737,0,5*2,null
14,260,null,1,1;3,null
15,200,null,1,5*2,null
16,100,null,0,11,小
17,200,null,1,5*2,null
18,320,null,1,4;7*2,null
19,230,879,0,1;5,null
20,360,879,0,1;3;5,null
21,230,031,0,3;5,null
22,100,null,1,5,null
23,320,null,1,4;7;8,null
24,250,720,0,3;5,null
25,230,null,1,3;12,null
26,130,null,1,3,null
27,220,null,1,4;7,null
28,190,259,0,9;27;28;31,小
29,380,null,1,3*2;4,null
30,120,038,0,4,null
31,1200,986,0,5*4;7*4;8*4,null
32,260,773,0,3*2,null
33,200,455,0,5*2,null
34,100,null,1,5,null
35,105,null,1,5;25,null;25辣
36,200,null,1,7*2,null
37,100,null,1,5,null
38,250,null,1,2;4,null
39,130,751,0,3,null
40,110,117,0,5;31,null
41,240,null,1,2;10,微
42,450,729,0,3;4;5*2,null
